Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
luvGAEUL,"Jan 30, 2023",11 hours ago,2023-04-04 09:33:20,2023-04-03 03:33:20
big_ketsu,"Oct 6, 2022","Feb 22, 2023",2023-04-04 09:33:25,2023-02-22 00:00:00
shizuyuke,"Nov 14, 2022","Jan 4, 2023",2023-04-04 09:33:30,2023-01-04 00:00:00
DasaniStayWet,"Feb 9, 2023",7 days ago,2023-04-04 09:33:34,2023-03-27 14:33:34
iamnubhahaehehehuwu,"Dec 12, 2022",19 days ago,2023-04-04 09:33:39,2023-03-15 14:33:39
limey4,"Aug 2, 2020",23 days ago,2023-04-04 09:33:43,2023-03-11 14:33:43
veyhx,"Sep 21, 2022",5 hours ago,2023-04-04 09:33:48,2023-04-03 09:33:48
SagiriiBM,"Jul 20, 2020",13 hours ago,2023-04-04 09:33:53,2023-04-03 01:33:53
Galaxy_Pegasis,"Mar 8, 2012",6 days ago,2023-04-04 09:33:58,2023-03-28 14:33:58
nzx_t,"Jan 25, 2023",1 hour ago,2023-04-04 09:34:03,2023-04-03 13:34:03
crazygamblane,"Feb 9, 2023",1 hour ago,2023-04-04 09:34:07,2023-04-03 13:34:07
nfamc,"Jun 7, 2020",4 hours ago,2023-04-04 09:34:12,2023-04-03 10:34:12
doodoomaster69420,"Apr 20, 2021",29 days ago,2023-04-04 09:34:17,2023-03-05 14:34:17
Drugs_chan,"Aug 9, 2022",Just now,2023-04-04 09:34:21,2023-04-03 14:34:21
ChuemongK,"Sep 30, 2022",6 hours ago,2023-04-04 09:34:26,2023-04-03 08:34:26
Ebp5,"Mar 26, 2023",4 hours ago,2023-04-04 09:34:30,2023-04-03 10:34:30
anbanaer,"Nov 17, 2022","Dec 21, 2022",2023-04-04 09:34:35,2022-12-21 00:00:00
Dav3Muah,"Mar 30, 2020",19 hours ago,2023-04-04 09:34:40,2023-04-02 19:34:40
RandomChessPlayerO,"Aug 27, 2022","Nov 25, 2022",2023-04-04 09:34:44,2022-11-25 00:00:00
senjunxi,"Nov 27, 2022",4 days ago,2023-04-04 09:34:49,2023-03-30 14:34:49
NicholasGleick,"Sep 26, 2022",14 hours ago,2023-04-04 09:34:53,2023-04-03 00:34:53
PUINSHER001,"Jan 28, 2023",2 hours ago,2023-04-04 09:34:58,2023-04-03 12:34:58
playerorpheus,"May 11, 2022","Jan 22, 2023",2023-04-04 09:35:03,2023-01-22 00:00:00
Kamikaze1115,"Jan 31, 2023",14 days ago,2023-04-04 09:35:08,2023-03-20 14:35:08
Rad1n-lukcy,"Feb 2, 2022",1 day ago,2023-04-04 09:35:13,2023-04-02 14:35:13
Akujinnn,"Jan 18, 2023",Just now,2023-04-04 09:35:18,2023-04-03 14:35:18
miseNorman,"Oct 12, 2022",10 hours ago,2023-04-04 09:35:22,2023-04-03 04:35:22
Loxonin,"Mar 29, 2019",2 days ago,2023-04-04 09:35:27,2023-04-01 14:35:27
claustrophobiajp,"Jul 16, 2022","Feb 13, 2023",2023-04-04 09:35:32,2023-02-13 00:00:00
memet2763,"Dec 22, 2022",7 hours ago,2023-04-04 09:35:36,2023-04-03 07:35:36
reynkim,"Dec 8, 2010",53 minutes ago,2023-04-04 09:35:41,2023-04-03 13:42:41
kazuya60,"Jun 17, 2022",7 hours ago,2023-04-04 09:35:46,2023-04-03 07:35:46
rudedirt,"Jan 9, 2023",3 hours ago,2023-04-04 09:35:51,2023-04-03 11:35:51
haxcrabs,"Jan 29, 2023",53 minutes ago,2023-04-04 09:35:56,2023-04-03 13:42:56
