Player name,Rating,Won,Draw,Lost
ShinobuKocho3,1675,133,8,49
rememorie,1675,28,1,14
alivaxan,1674,18,0,9
mamamumuhongos,1673,2172,121,2162
yoruwaneru,1673,147,9,76
benko_Ghost,1673,276,18,242
anorehdesu,1672,15,0,5
DB_Daijiro,1672,159,2,116
Kysjah,1672,2427,178,2203
aintthatright,1671,9894,840,8375
uchiha_hitachi,1670,797,10,534
18YAMAHA89,1670,303,2,79
Rikuto-Hoya,1669,7014,384,7235
iberiancrowd,1669,1505,97,1372
Frogiven,1668,17,0,9
kebon13,1668,467,19,423
Naobou,1666,321,33,260
Aizen_Kyoka,1665,35,3,8
mirimtl,1664,2379,133,2217
ScarecrowFlowBo,1663,,,
nije11,1662,97,9,81
Mancipe,1662,8564,311,8204
ChessMasterLeif,1662,59,2,23
egboy,1662,20033,1333,15352
irakoSeigen0,1661,57,1,49
Thomson0688,1661,709,22,617
sossbos,1661,50,3,26
artimum,1661,44,2,28
BlunderBuss8686,1661,290,17,182
Tim1CoVo,1660,237,23,225
DELTA2020,1659,392,33,421
Bakii_Hanma,1658,243,19,274
AeonZX,1658,2148,67,2020
enju_hk,1657,3566,109,3614
FujiharaSatoshi,1657,1175,79,1037
sirHMp3,1657,1859,120,1792
GojouSensei_17,1656,59,1,1
Doraemonsterhunter,1656,208,15,101
Carlsama,1656,89,6,78
japaneseman0501,1656,1137,54,1040
Quihubi,1655,373,16,311
Jolyrrad,1653,411,3,321
J4qenHgh4r,1653,28,1,15
DaveyP33,1653,1684,104,1593
kerberos-kinomoto,1653,61,7,25
PlayerJP,1652,521,37,439
Ideas010,1651,1924,127,1688
Hikaru710,1651,382,22,322
SunriseStrategy,1650,157,9,114
Heart0fTarrasque,1649,36,2,12
Englisher,1648,229,15,212
theconqueror9999,1647,2425,86,2315
JonSnow_Dragon,1647,3144,182,2895
lllIIIIIIII,1647,323,25,252
ni2482,1645,64402,1119,56862
chikuwasenpai,1645,1800,97,1846
Fuceta99,1644,497,36,441
NAOKISHIODA,1643,214,13,195
Code1159,1642,332,16,293
TJsChess,1641,9928,528,10343
skramchi,1641,9563,294,8612
Ozan_2011,1641,555,62,462
jhmkgl,1640,214,23,179
hia425,1640,1460,109,1291
leadig_tone,1638,2460,115,2313
SaiyanChessPlayer,1637,35,2,21
fujiicorn,1635,145,2,111
kanightie,1635,1977,86,1882
Binhtokyo,1635,38547,2784,36620
OfficialLightYagami,1635,71,0,14
rinnka-111,1634,17796,746,17167
jiroodai,1634,,,
Ranma-Saotome,1633,107,1,19
PaulusOOKA,1632,99,5,93
Tsurijamano,1631,6941,436,6469
Nakanakankj_12,1629,2117,100,2033
ISLPS,1629,333,18,311
UnderestimatedPotato,1629,22,0,9
TJQKA2,1628,612,60,602
ibog61,1627,684,72,578
limegreen1615,1627,554,43,469
caesar12311,1625,248,15,218
Kei_Yonagi,1624,174,9,132
imae,1623,818,74,682
brunotluz,1622,718,50,599
Shinkansen_Bullet,1621,234,15,245
HuffleSucks,1621,24,1,65
RikaHonjo,1620,190,18,187
Nol0rd,1620,209,11,164
ermiaiyonka,1620,115,4,97
SenseiiGojo,1619,40,0,1
kekekekeee,1619,2477,158,2763
Ayanokoji_sama,1619,815,92,799
syameimaru-private,1617,126,8,51
goodjobteppei,1615,1280,100,1187
GojouSensei17,1615,59,0,1
RubyRoman2008,1615,24,0,2
BoyFromNowhere,1614,96,12,66
AllierethNew,1614,26769,828,27137
PattyFish,1614,1700,68,1567
lIlllIllIll,1612,199,6,163
syameimaru-kurumi,1611,58,5,25
focusonimprove12,1611,67,5,34
ImoutoSan,1610,167,10,65
BitardImo,1609,3800,303,3678
ssenje,1609,196,5,156
Taiga_Aisaka22,1608,145,5,104
spaceAlert,1608,32,0,33
3dwardDTeach,1608,222,20,176
okaabe,1608,119,5,84
