Player name,Rating,Won,Draw,Lost
JIsNoob17Blundered,369,0,0,3
sigma1105,369,4,0,4
Jordica07,369,1,0,3
fiistw9te9tw,369,2,0,3
50uhei,369,1,0,2
Sakimm,369,7,0,21
Ocha029,367,1,1,1
HeyJoy,367,1,0,3
prescevu,366,1,0,3
Sakurajima_Maii,366,1,0,5
Naganoman,365,1,0,2
Enes-sama7,365,1,1,14
Eichi,365,2,1,3
blackdxlphin,365,4,0,1
Hiikarun,365,1,1,5
MojtabaB72,364,6,0,4
KuroroSenp,364,1,0,6
MadOverGames360,406,2,0,2
Liya69420,405,2,0,2
devrim0113,405,2,0,3
ReinaxBeom,405,1,0,4
samualll,405,3,0,1
SlimLlanosPai,405,4,0,14
sebordination,405,9,1,23
18karatnevezeniya,404,2,0,1
Kento129,404,3,0,2
hazeeeking,403,3,1,6
naominmin,403,5,0,6
BIueEyedWhiteDragon,403,2,1,4
Rubi_Chan,402,3,0,2
MDiazII,402,13,0,17
sakuramoti,402,3,0,7
loose2m,401,4,0,10
NoahthePawn,400,3,0,2
YoichiIsagi011,400,0,0,4
SHAILKICK,400,0,1,2
KhunV7,400,2,2,0
Togiodi,399,0,0,22
MerryKana,399,1,0,8
arniarni4,398,0,0,4
KenNagata,398,2,0,1
sentoefn,398,1,0,3
jarrod-zen,397,0,0,3
vrhhdhtdvhrsgjihbvd,396,0,0,5
shocosan,396,9,1,18
otn07,396,0,0,3
yoooo344,395,2,0,2
ageldean,395,0,0,3
lowqua13ty,395,3,0,4
Yuzuru_S,394,1,0,2
Khalifa187,394,3,0,12
JohanLibert00,393,1,0,8
okkumajn,393,1,0,2
Zenaomina,393,2,1,2
69TY500k,393,6,0,15
SixFt,393,1,0,5
Zyufzjis,392,6,0,17
The_Human_Tea,392,6,0,10
Kent0403,392,2,0,4
leh3234,391,0,2,1
DGDogie,390,3,0,11
Hirokichess,390,2,3,2
vKenzov,389,0,0,3
mertyn263,389,0,1,2
CLWRCT,388,5,0,5
Manuel_AC,388,0,0,6
VSKamalesh,388,1,0,14
Totorontwitch,425,2,1,5
slow_roll,425,2,0,8
ShiningStarlyn,424,1,1,1
Ryurym,424,1,0,2
tokyodank,424,12,1,14
ZenitsuAgatsuma2006,424,5,0,4
Janeeeeeeeee9,424,2,0,8
Permafrost05,423,1,0,2
mjsmitty86,422,1,0,2
ratanaha,422,2,0,1
ZetsuboKen,421,4,0,14
Oscar_Kremer,420,1,0,3
Kenzoshiro,420,1,0,5
Nebby_Galaxy,419,4,0,10
xr3op,419,0,0,4
Blankychan,419,0,0,9
Yuna-Yosuke13,419,2,0,3
asa9ohan,419,8,0,3
dynameis,418,1,0,5
Harzard9211,417,23,5,63
nayzak1,417,3,0,10
Vannzyx,416,2,0,2
fujisaki966,416,3,0,8
KingOfBlunderzzz,416,1,0,2
4straea,416,2,0,3
FelipRyu,416,1,0,8
SAIDDOGE,414,1,0,2
almighty_pusher,414,2,0,6
tomokong,414,1,3,10
Janashpak,414,6,0,28
0Saphire0,414,1,0,4
Kyatler,413,12,1,11
fishmancap,412,2,0,4
ZANGETSUUUUU,411,0,0,3
nzgsh,411,4,0,4
perfect1017,411,2,1,2
yunjju,411,3,0,2
Pomidorkin123,410,1,0,7
EduardoLayber,410,1,0,2
Makintosh228,410,1,0,2
fukaishiz,409,35,1,90
SumireYoshizawaXIV,409,2,0,3
SmlWigg,409,1,2,1
Natsuuuukiii,409,0,0,3
fireshigeki,408,1,0,5
manato_kun,407,1,0,3
maryam86tahmasebi,407,5,1,17
ibaay26,407,2,1,2
SHOWNAD,406,2,0,3
GinbeAoyama,406,7,0,5
tuckben83737,444,2,0,1
B_B0CKPECEHbE,444,3,0,4
GREED027,444,10,0,26
Mr_Gengar,444,16,0,5
Krimitoro,444,0,0,4
Hedzerke,443,5,0,2
Sau1503,442,17,0,41
Tokofalcon,442,18,0,189
wa_g3,442,1,1,4
airliet,442,0,0,4
omusubida,442,0,0,4
VKaizu,441,1,0,5
acidvaccine,441,2,0,2
mrMJ15,441,2,1,3
gayforbarbie,441,2,0,6
TuTu168,441,1,0,6
Gasplin,441,1,1,7
Asahi999,440,7,0,4
rednekcraka,440,2,0,4
Vincent2020518,439,18,0,81
marimo00,438,0,0,4
lilyff,438,5,0,34
Lukamane,437,2,0,5
Ayanokyoji360,437,0,0,3
chihosasaki,437,5,1,3
anakinskywalker3579,437,1,1,3
hisamoto_masami,436,1,0,7
Takechanchan,435,22,1,19
Kagetoraa,434,1,0,3
Prat6129,434,8,1,23
miki0201,433,1,1,1
KakHanung,432,1,0,2
AAS_BOLTE,432,0,0,6
yurichan427,432,0,0,3
ange00xx,432,3,0,6
takarakata,432,1,0,8
cococo810,431,2,0,1
nue01,430,1,0,6
jokekang,430,1,0,2
tanishgera,430,4,1,7
PekoMeow,430,2,0,3
Emlee25,430,1,2,16
sundaycarpenter,428,3,0,8
