Player name,Rating,Won,Draw,Lost,Joined,Last Online,Scraping time,Last Online chess.com server time
chessimunati,1079,49.0,13.0,9.0,"Nov 21, 2020","Feb 16, 2021",2023-04-05 23:32:05,2021-02-16 00:00:00
manmusk,1076,30.0,1.0,39.0,"Mar 10, 2020","Sep 14, 2021",2023-04-03 03:10:30,2021-09-14 00:00:00
maswid,1073,17.0,0.0,26.0,"Oct 15, 2018",19 days ago,2023-04-02 22:02:20,2023-03-14 03:02:20
Kingyoya,1060,15.0,0.0,8.0,"Feb 14, 2021",Online Now,2023-04-03 09:27:50,2023-04-02 14:27:50
pao-mao,1058,158.0,15.0,112.0,"Jun 14, 2019",2 hours ago,2023-04-03 02:08:29,2023-04-02 05:08:29
yanediablo,1053,57.0,1.0,126.0,"Jan 31, 2020",1 hour ago,2023-04-03 04:14:30,2023-04-02 08:14:30
Kenzo_Ichinose,1036,12.0,0.0,14.0,"Jan 13, 2021","May 29, 2021",2023-04-03 02:48:07,2021-05-29 00:00:00
Aghavni_Sugiyama,1034,14.0,0.0,7.0,"Jan 18, 2021",1 day ago,2023-04-03 11:21:34,2023-04-01 16:21:34
Karthick0717,1032,11.0,0.0,23.0,"Apr 24, 2020",20 minutes ago,2023-04-03 03:47:37,2023-04-02 08:27:37
alexanderfranceschi,1031,12.0,2.0,15.0,"May 8, 2021",15 days ago,2023-04-03 00:41:39,2023-03-18 05:41:39
BourgogneBlanche,1025,152.0,0.0,129.0,"Dec 16, 2020","Oct 31, 2022",2023-04-02 14:30:45,2022-10-31 00:00:00
CallMeMySweetBunny,1008,14.0,0.0,20.0,"Mar 9, 2021",11 days ago,2023-04-02 19:53:53,2023-03-22 00:53:53
sdude09,1006,38.0,1.0,34.0,"Jun 26, 2021","Jul 5, 2022",2023-04-03 02:23:43,2022-07-05 00:00:00
htollefson,1001,29.0,3.0,18.0,"Oct 3, 2014",2 hours ago,2023-04-02 21:24:19,2023-04-02 00:24:19
HancockxLuffy,997,11.0,1.0,16.0,"Oct 31, 2020","Feb 9, 2023",2023-04-02 21:41:33,2023-02-09 00:00:00
amaclaire,997,15.0,1.0,9.0,"Sep 8, 2022",19 hours ago,2023-04-02 19:41:27,2023-04-01 05:41:27
SubashOjha,991,32.0,16.0,34.0,"Feb 16, 2021","Apr 10, 2022",2023-04-05 08:41:51,2022-04-10 00:00:00
Viktoritanos,980,32.0,1.0,20.0,"Oct 20, 2021",4 days ago,2023-04-04 19:02:09,2023-03-31 00:02:09
ai-chan2018,980,44.0,0.0,65.0,"Apr 4, 2021","Nov 7, 2022",2023-04-02 22:47:46,2022-11-07 00:00:00
subsojha,968,25.0,15.0,30.0,"Feb 22, 2021",Just now,2023-04-05 13:38:36,2023-04-04 18:38:36
RamGutz,951,18.0,0.0,28.0,"Dec 20, 2020",9 days ago,2023-04-03 08:17:29,2023-03-24 13:17:29
Lambda2,943,13.0,2.0,11.0,"Jan 21, 2018",16 days ago,2023-04-03 02:34:46,2023-03-17 07:34:46
Pako_Takuma,936,15.0,0.0,41.0,"Aug 31, 2019","May 27, 2022",2023-04-03 10:27:50,2022-05-27 00:00:00
Wasd9848,922,20.0,1.0,66.0,"Sep 26, 2018",29 days ago,2023-04-03 13:25:33,2023-03-04 18:25:33
ghosts7,915,26.0,0.0,40.0,"Jul 21, 2019",3 hours ago,2023-04-02 21:46:18,2023-04-01 23:46:18
Angel0fFire,904,26.0,3.0,0.0,"Mar 3, 2021",14 days ago,2023-04-02 18:23:40,2023-03-18 23:23:40
Erdene1112,900,19.0,3.0,11.0,"Dec 27, 2020","Dec 1, 2021",2023-04-04 21:10:19,2021-12-01 00:00:00
AronSanOsaka,887,10.0,0.0,15.0,"Oct 28, 2020","Aug 23, 2022",2023-04-03 05:01:01,2022-08-23 00:00:00
