Player name,Rating,Won,Draw,Lost,Joined,Last Online,Scraping time,Last Online chess.com server time
DimDo0M,2202,778.0,71.0,639.0,"Jul 5, 2021",5 hours ago,2023-04-02 13:55:36,2023-04-01 13:55:36
monopaul-jp,2202,3999.0,355.0,3881.0,"Mar 24, 2013",2 hours ago,2023-04-02 13:55:42,2023-04-01 16:55:42
AlexanderEdogawa,2200,3100.0,290.0,2615.0,"Jan 20, 2017",11 days ago,2023-04-02 13:55:49,2023-03-21 18:55:49
testcalls69,2199,817.0,59.0,622.0,"Sep 8, 2019",3 days ago,2023-04-02 13:55:55,2023-03-29 18:55:55
Giyuu_Tomioka,2188,1147.0,109.0,956.0,"May 7, 2019",29 days ago,2023-04-02 13:56:02,2023-03-03 18:56:02
NMFabianTreutlein,2188,317.0,30.0,277.0,"Jul 17, 2021",1 day ago,2023-04-02 13:56:08,2023-03-31 18:56:08
lovew1n,2177,19.0,5.0,6.0,"Feb 23, 2023",5 hours ago,2023-04-02 13:56:15,2023-04-01 13:56:15
Vlsoes,2177,17.0,0.0,3.0,"Feb 11, 2023",7 days ago,2023-04-02 13:56:21,2023-03-25 18:56:21
2KnightShow,2176,6345.0,948.0,4891.0,"Oct 17, 2017",1 day ago,2023-04-02 13:56:28,2023-03-31 18:56:28
Y-A-N-S-U,2175,277.0,34.0,127.0,"Jun 3, 2022","Feb 21, 2023",2023-04-02 13:56:34,2023-02-21 00:00:00
kalafina_fan,2175,190.0,26.0,124.0,"Dec 20, 2013",21 days ago,2023-04-02 13:56:41,2023-03-11 18:56:41
Fayfe,2172,184.0,9.0,96.0,"Apr 25, 2011",12 hours ago,2023-04-02 13:56:47,2023-04-01 06:56:47
Hiraku_Shimada,2171,55.0,8.0,29.0,"Jan 25, 2023",3 days ago,2023-04-02 13:56:54,2023-03-29 18:56:54
scourzuki,2171,24.0,0.0,17.0,"May 9, 2022",7 days ago,2023-04-02 13:57:00,2023-03-25 18:57:00
Karutt001,2166,212.0,32.0,160.0,"Apr 28, 2020",5 days ago,2023-04-02 13:57:07,2023-03-27 18:57:07
masahirobaba,2160,1169.0,167.0,782.0,"Aug 12, 2015",15 days ago,2023-04-02 13:57:13,2023-03-17 18:57:13
RichesttMan,2160,25.0,0.0,5.0,"Dec 30, 2022",20 days ago,2023-04-02 13:57:20,2023-03-12 18:57:20
Embarcadero,2159,5055.0,1005.0,3367.0,"Apr 7, 2015",2 hours ago,2023-04-02 13:57:26,2023-04-01 16:57:26
lacisaille,2157,362.0,30.0,306.0,"Jan 12, 2016",4 days ago,2023-04-02 13:57:33,2023-03-28 18:57:33
ScathachU,2155,77.0,4.0,20.0,"May 25, 2019","Jan 19, 2023",2023-04-02 13:57:39,2023-01-19 00:00:00
BAVMAX,2154,136.0,22.0,74.0,"Feb 25, 2023",22 hours ago,2023-04-02 13:57:46,2023-03-31 20:57:46
gregorius1,2154,1655.0,220.0,1589.0,"Apr 3, 2014",9 days ago,2023-04-02 13:57:52,2023-03-23 18:57:52
Out_of_the_Zoo,2151,93.0,10.0,68.0,"May 18, 2021",15 days ago,2023-04-02 13:57:59,2023-03-17 18:57:59
only-fischer,2149,8130.0,959.0,8338.0,"Jan 7, 2013",7 hours ago,2023-04-02 13:58:05,2023-04-01 11:58:05
IamJval,2146,698.0,81.0,771.0,"Apr 30, 2020",2 days ago,2023-04-02 13:58:12,2023-03-30 18:58:12
Zherna,2141,8541.0,676.0,7936.0,"Sep 21, 2014",6 days ago,2023-04-02 13:58:18,2023-03-26 18:58:18
jan080760,2139,461.0,40.0,337.0,"May 14, 2020","Jan 13, 2023",2023-04-02 13:58:25,2023-01-13 00:00:00
Ryuji_Kanzaki,2134,86.0,7.0,57.0,"Dec 16, 2022","Feb 22, 2023",2023-04-02 13:58:31,2023-02-22 00:00:00
Lain_From_Wired,2129,2007.0,168.0,1443.0,"Oct 9, 2017","Feb 28, 2023",2023-04-02 13:58:38,2023-02-28 00:00:00
sota7,2128,463.0,48.0,312.0,"Nov 12, 2019",3 days ago,2023-04-02 13:58:44,2023-03-29 18:58:44
arcice,2128,31.0,1.0,13.0,"Sep 27, 2022","Jan 23, 2023",2023-04-02 13:58:50,2023-01-23 00:00:00
shokomai,2128,796.0,73.0,669.0,"Sep 30, 2008",10 hours ago,2023-04-02 13:58:57,2023-04-01 08:58:57
Brinval,2125,12381.0,749.0,9684.0,"Mar 16, 2018",1 hour ago,2023-04-02 13:59:03,2023-04-01 17:59:03
yamatoji221,2124,969.0,110.0,885.0,"Oct 11, 2017",8 hours ago,2023-04-02 13:59:10,2023-04-01 10:59:10
DogHateMe,2119,999.0,120.0,966.0,"Mar 17, 2018",12 hours ago,2023-04-02 13:59:16,2023-04-01 06:59:16
3rdyoungmaster,2118,188.0,29.0,107.0,"Jan 27, 2020",1 day ago,2023-04-02 13:59:23,2023-03-31 18:59:23
HRHAzula,2116,182.0,16.0,150.0,"Jan 24, 2023","Feb 3, 2023",2023-04-02 13:59:29,2023-02-03 00:00:00
nishiokaraychel,2114,19.0,3.0,2.0,"Mar 3, 2023",49 minutes ago,2023-04-02 13:59:36,2023-04-01 18:10:36
rockydes,2111,10561.0,948.0,9892.0,"Apr 30, 2016",20 hours ago,2023-04-02 13:59:42,2023-03-31 22:59:42
yuutin,2110,,,,"Mar 28, 2020",8 hours ago,2023-04-02 13:59:49,2023-04-01 10:59:49
EnchiV,2108,2028.0,165.0,1781.0,"Jul 18, 2019",9 hours ago,2023-04-02 13:59:55,2023-04-01 09:59:55
tor123546,2107,246.0,6.0,69.0,"Sep 9, 2022","Feb 19, 2023",2023-04-02 14:00:02,2023-02-19 00:00:00
cheburashka777,2105,18588.0,1941.0,14412.0,"Mar 11, 2012",Online Now,2023-04-02 14:00:09,2023-04-01 19:00:09
KazuyaNakamura,2102,856.0,75.0,694.0,"Jan 8, 2019","Feb 12, 2023",2023-04-02 14:00:16,2023-02-12 00:00:00
superpikachu,2101,26351.0,2051.0,21713.0,"Nov 12, 2012",Just now,2023-04-02 14:00:23,2023-04-01 19:00:23
D1ss1pl1n3,2101,543.0,33.0,428.0,"May 1, 2022",2 hours ago,2023-04-02 14:00:36,2023-04-01 17:00:36
kenleavister163,2100,881.0,92.0,690.0,"Jan 9, 2022",3 hours ago,2023-04-02 14:00:43,2023-04-01 16:00:43
ryotaro1023,2096,5754.0,585.0,5357.0,"Apr 10, 2017",17 hours ago,2023-04-02 14:00:50,2023-04-01 02:00:50
Zucci,2095,5316.0,526.0,4717.0,"Jan 5, 2018",5 hours ago,2023-04-02 14:00:56,2023-04-01 14:00:56
UncleSwindle,2094,827.0,71.0,750.0,"Jun 6, 2013",3 hours ago,2023-04-02 14:01:03,2023-04-01 16:01:03
Sydi,2093,843.0,94.0,658.0,"Jun 29, 2013",10 hours ago,2023-04-02 14:01:10,2023-04-01 09:01:10
Mizu653,2088,56.0,4.0,23.0,"Jan 22, 2021",3 days ago,2023-04-02 14:01:16,2023-03-29 19:01:16
blunder_and_lightning,2086,1131.0,115.0,1008.0,"Jan 26, 2018",13 minutes ago,2023-04-02 14:01:23,2023-04-01 18:48:23
FMKudo,2086,22.0,1.0,14.0,"Jan 27, 2021",1 hour ago,2023-04-02 14:01:29,2023-04-01 18:01:29
Bot9000,2084,2118.0,406.0,2014.0,"Mar 26, 2019",10 hours ago,2023-04-02 14:01:36,2023-04-01 09:01:36
georgt,2083,4848.0,727.0,4821.0,"Sep 14, 2017",56 minutes ago,2023-04-02 14:01:42,2023-04-01 18:05:42
bishopenpassant,2078,2314.0,293.0,1730.0,"Apr 13, 2017",5 days ago,2023-04-02 14:01:49,2023-03-27 19:01:49
samurai_tak,2077,1276.0,107.0,1162.0,"Feb 15, 2021",4 hours ago,2023-04-02 14:01:55,2023-04-01 15:01:55
AnotherMonster,2072,3892.0,364.0,3373.0,"Mar 22, 2021","Jun 24, 2022",2023-04-02 14:02:02,2022-06-24 00:00:00
ryuugakusei,2071,131.0,10.0,103.0,"Feb 13, 2022","Jan 22, 2023",2023-04-02 14:02:08,2023-01-22 00:00:00
Sas_aki,2067,35.0,2.0,9.0,"Oct 21, 2022",2 hours ago,2023-04-02 14:02:16,2023-04-01 17:02:16
skkult,2059,52.0,3.0,47.0,"Feb 1, 2023",1 day ago,2023-04-02 14:02:22,2023-03-31 19:02:22
