Player name,Joined,Last Online,Scraping time,Last Online chess.com server time
only-fischer,"Jan 7, 2013",7 hours ago,2023-04-02 13:58:05,2023-04-01 11:58:05
IamJval,"Apr 30, 2020",2 days ago,2023-04-02 13:58:12,2023-03-30 18:58:12
Zherna,"Sep 21, 2014",6 days ago,2023-04-02 13:58:18,2023-03-26 18:58:18
jan080760,"May 14, 2020","Jan 13, 2023",2023-04-02 13:58:25,2023-01-13 00:00:00
Ryuji_Kanzaki,"Dec 16, 2022","Feb 22, 2023",2023-04-02 13:58:31,2023-02-22 00:00:00
Lain_From_Wired,"Oct 9, 2017","Feb 28, 2023",2023-04-02 13:58:38,2023-02-28 00:00:00
sota7,"Nov 12, 2019",3 days ago,2023-04-02 13:58:44,2023-03-29 18:58:44
arcice,"Sep 27, 2022","Jan 23, 2023",2023-04-02 13:58:50,2023-01-23 00:00:00
shokomai,"Sep 30, 2008",10 hours ago,2023-04-02 13:58:57,2023-04-01 08:58:57
Brinval,"Mar 16, 2018",1 hour ago,2023-04-02 13:59:03,2023-04-01 17:59:03
yamatoji221,"Oct 11, 2017",8 hours ago,2023-04-02 13:59:10,2023-04-01 10:59:10
DogHateMe,"Mar 17, 2018",12 hours ago,2023-04-02 13:59:16,2023-04-01 06:59:16
3rdyoungmaster,"Jan 27, 2020",1 day ago,2023-04-02 13:59:23,2023-03-31 18:59:23
HRHAzula,"Jan 24, 2023","Feb 3, 2023",2023-04-02 13:59:29,2023-02-03 00:00:00
nishiokaraychel,"Mar 3, 2023",49 minutes ago,2023-04-02 13:59:36,2023-04-01 18:10:36
rockydes,"Apr 30, 2016",20 hours ago,2023-04-02 13:59:42,2023-03-31 22:59:42
yuutin,"Mar 28, 2020",8 hours ago,2023-04-02 13:59:49,2023-04-01 10:59:49
EnchiV,"Jul 18, 2019",9 hours ago,2023-04-02 13:59:55,2023-04-01 09:59:55
tor123546,"Sep 9, 2022","Feb 19, 2023",2023-04-02 14:00:02,2023-02-19 00:00:00
cheburashka777,"Mar 11, 2012",Online Now,2023-04-02 14:00:09,2023-04-01 19:00:09
KazuyaNakamura,"Jan 8, 2019","Feb 12, 2023",2023-04-02 14:00:16,2023-02-12 00:00:00
superpikachu,"Nov 12, 2012",Just now,2023-04-02 14:00:23,2023-04-01 19:00:23
D1ss1pl1n3,"May 1, 2022",2 hours ago,2023-04-02 14:00:36,2023-04-01 17:00:36
kenleavister163,"Jan 9, 2022",3 hours ago,2023-04-02 14:00:43,2023-04-01 16:00:43
ryotaro1023,"Apr 10, 2017",17 hours ago,2023-04-02 14:00:50,2023-04-01 02:00:50
Zucci,"Jan 5, 2018",5 hours ago,2023-04-02 14:00:56,2023-04-01 14:00:56
UncleSwindle,"Jun 6, 2013",3 hours ago,2023-04-02 14:01:03,2023-04-01 16:01:03
Sydi,"Jun 29, 2013",10 hours ago,2023-04-02 14:01:10,2023-04-01 09:01:10
Mizu653,"Jan 22, 2021",3 days ago,2023-04-02 14:01:16,2023-03-29 19:01:16
blunder_and_lightning,"Jan 26, 2018",13 minutes ago,2023-04-02 14:01:23,2023-04-01 18:48:23
FMKudo,"Jan 27, 2021",1 hour ago,2023-04-02 14:01:29,2023-04-01 18:01:29
Bot9000,"Mar 26, 2019",10 hours ago,2023-04-02 14:01:36,2023-04-01 09:01:36
georgt,"Sep 14, 2017",56 minutes ago,2023-04-02 14:01:42,2023-04-01 18:05:42
bishopenpassant,"Apr 13, 2017",5 days ago,2023-04-02 14:01:49,2023-03-27 19:01:49
samurai_tak,"Feb 15, 2021",4 hours ago,2023-04-02 14:01:55,2023-04-01 15:01:55
AnotherMonster,"Mar 22, 2021","Jun 24, 2022",2023-04-02 14:02:02,2022-06-24 00:00:00
ryuugakusei,"Feb 13, 2022","Jan 22, 2023",2023-04-02 14:02:08,2023-01-22 00:00:00
Sas_aki,"Oct 21, 2022",2 hours ago,2023-04-02 14:02:16,2023-04-01 17:02:16
skkult,"Feb 1, 2023",1 day ago,2023-04-02 14:02:22,2023-03-31 19:02:22
B_o_l_o_g_n_aJun,"Aug 25, 2022","Jan 23, 2023",2023-04-02 14:02:30,2023-01-23 00:00:00
DisturbingChild,"Feb 18, 2022",13 hours ago,2023-04-02 14:02:37,2023-04-01 06:02:37
kanapov2,"Jan 4, 2023",9 hours ago,2023-04-02 14:02:43,2023-04-01 10:02:43
HakaiNoTatsujin,"Oct 22, 2021",9 days ago,2023-04-02 14:02:50,2023-03-23 19:02:50
Green10107,"Nov 14, 2013",1 hour ago,2023-04-02 14:02:56,2023-04-01 18:02:56
Ikemensama,"Apr 10, 2020",1 hour ago,2023-04-02 14:03:03,2023-04-01 18:03:03
Nerimath,"Mar 27, 2021",Online Now,2023-04-02 14:03:09,2023-04-01 19:03:09
Lazer787,"Mar 2, 2021",1 hour ago,2023-04-02 14:03:16,2023-04-01 18:03:16
bebikotan,"Oct 28, 2016",1 day ago,2023-04-02 14:03:22,2023-03-31 19:03:22
chernobylpower,"Jun 1, 2011",16 hours ago,2023-04-02 14:03:29,2023-04-01 03:03:29
oskar_hall,"Sep 13, 2015",4 hours ago,2023-04-02 14:03:36,2023-04-01 15:03:36
AxelMurdock,"Aug 10, 2020",8 days ago,2023-04-02 14:03:42,2023-03-24 19:03:42
Chronomosis,"Jan 26, 2023","Feb 11, 2023",2023-04-02 14:03:48,2023-02-11 00:00:00
Erina_Chan,"Dec 19, 2020",1 day ago,2023-04-02 14:03:55,2023-03-31 19:03:55
YamaikoAkemi,"Jan 29, 2023",4 days ago,2023-04-02 14:04:02,2023-03-28 19:04:02
MeijiXX,"Oct 18, 2011",18 hours ago,2023-04-02 14:04:08,2023-04-01 01:04:08
P4R4N01D4NDR01D,"Aug 14, 2022",8 hours ago,2023-04-02 14:04:15,2023-04-01 11:04:15
ryouyin,"Feb 15, 2011","Mar 2, 2023",2023-04-02 14:04:21,2023-03-02 00:00:00
Krimmsson,"Jun 21, 2017",13 days ago,2023-04-02 14:04:28,2023-03-19 19:04:28
flyhighponta,"May 30, 2012",1 day ago,2023-04-02 14:04:34,2023-03-31 19:04:34
kH4winKfVxiJhVWs,"May 29, 2020",4 hours ago,2023-04-02 14:04:41,2023-04-01 15:04:41
K-a-k-a-s-h-i,"Sep 25, 2022",10 hours ago,2023-04-02 14:04:47,2023-04-01 09:04:47
Melkor_14,"Jul 6, 2009",9 hours ago,2023-04-02 14:04:55,2023-04-01 10:04:55
Wataru17,"Mar 17, 2020",1 day ago,2023-04-02 14:05:01,2023-03-31 19:05:01
zxc_mnm,"Dec 24, 2022","Feb 6, 2023",2023-04-02 14:05:08,2023-02-06 00:00:00
star_kurosaru,"Jul 2, 2012",1 day ago,2023-04-02 14:05:14,2023-03-31 19:05:14
RahTNM,"Nov 23, 2021",Just now,2023-04-02 14:05:20,2023-04-01 19:05:20
broncobally,"Aug 11, 2012",1 day ago,2023-04-02 14:05:27,2023-03-31 19:05:27
asuragi,"Jan 13, 2023",8 hours ago,2023-04-02 14:05:34,2023-04-01 11:05:34
pojican,"Dec 26, 2020",4 days ago,2023-04-02 14:05:40,2023-03-28 19:05:40
chess0684,"Aug 11, 2021",27 days ago,2023-04-02 14:05:47,2023-03-05 19:05:47
higapon,"Mar 19, 2012",13 hours ago,2023-04-02 14:05:53,2023-04-01 06:05:53
tottoa,"Mar 29, 2018",15 hours ago,2023-04-02 14:05:59,2023-04-01 04:05:59
ramoveatnust,"Feb 3, 2019",2 days ago,2023-04-02 14:06:06,2023-03-30 19:06:06
NEZGODAN-MOMAK,"Oct 29, 2015",3 hours ago,2023-04-02 14:06:13,2023-04-01 16:06:13
ElSamuraiRua,"Jan 24, 2023",2 days ago,2023-04-02 14:06:19,2023-03-30 19:06:19
MirTheDragon,"Jun 8, 2021",Just now,2023-04-02 14:06:26,2023-04-01 19:06:26
Zosaya,"Mar 14, 2023",6 days ago,2023-04-02 14:06:39,2023-03-26 19:06:39
yngiled,"Dec 4, 2012",8 hours ago,2023-04-02 14:06:46,2023-04-01 11:06:46
Pon_de_Lion,"Sep 24, 2012",12 hours ago,2023-04-02 14:06:52,2023-04-01 07:06:52
21osakat,"Sep 5, 2015",11 days ago,2023-04-02 14:06:59,2023-03-21 19:06:59
